	job_id	title	location	department	salary_range	company_profile	description	requirements	benefits	telecommuting	has_company_logo	has_questions	employment_type	required_experience	required_education	industry	function	fraudulent
192	17514	Office Manager	PL, MZ, Warsaw							0	0	0						1
207	6111	Data Entry	US, NY, ACRA				Data EntryThe purpose of this position is to complete study related case report forms, either paper or electronic and to ensure that all international regulatory standards and sponsor requirements are met providing the highest quality clinical trial services possible.DUTIES AND RESPONSIBILITIESCompare data with source documents to detect errors.Compile, sort and verify the accuracy of data before it is entered.Locate and correct data entry errors per Prism Research’s SOPs,Maintain study related logs.Read study protocols and source documents and enter data in specific data fields to complete study case report forms.Resolve garbled or indecipherable source data with appropriate staff.Select materials needed to complete work assignments.Store completed documents in appropriate locations.Establish and maintain strong external relationships with research partners and sponsor on an ongoing basis.	Other duties as assigned.EDUCATION, TRAINING AND COMPETENCIESEDUCATIONAL REQUIREMENTS: High School Diploma.TRAINING/EXPERIENCE CLINICAL REQUIREMENTS: Minimum of two years clinical research experience preferred.TRANSFERABLE COMPETENCY REQUIREMENTS:§ Organization,§ Typing§ Data Entry Skills,§ Attention to Detail§ Confidentiality§ Thoroughness,§ Decision Making§ Independence,§ Analyzing Information§ Results Driven§ Verbal communications skills§ Problem-solving skills§ Planning/organizational skills§ Personal motivation§ Customer service skillsSPECIFIC TECHNICAL COMPETENCY REQUIREMENTS§ Understanding of ICH/GCP guidelines for human research§ Understanding of Code of Federal Regulations for Human Subjects§ Microsoft Word and Excel competency§ Understanding of Phase I-IV drug development processPHYSICAL REQUIREMENTS AND/OR ENVIRONMENTAL FACTORS§ Extensive computer (Laptop) use.	Medical, Dental &amp; Vision Insurance, Life and Long-Term Disability Insurance, Vacation, Paid Time Off, Tax-Deferred Annuity 403 (b) 401 ( k ) , Tuition Assistance, Comprehensive In-House Training Program, Employee Assistance Program, Relocation Allowance (for some positions), Sign-On Bonus (for some positions)	0	0	0	Full-time	Entry level	Unspecified	Accounting	Administrative	1
216	17803	Front Office Manager/reception	US, NY, New York				Our company  is looking for a full time employee to manage our front desk. Experience in physical therapy or fitness facility is preferred. Organization and management skills are required. Candidates must be very personable and ready to interact with clients and patients. This job is a great opportunity to work in a dynamic healthy environment where physical therapy and fitness services merge together. Interest in health and fitness is an advantage	Mange &amp; train front desk staff providing services to guests in a friendly, efficient &amp; professional manner. We are looking for an EXPERIENCED PERSON with customer service and management skills, an enthusiastic personality who loves animals &amp; people!Must have a minimum of an Associate's Degree.  Higher degrees are preferred.Must have excellent communication skills, sales-abilities a plus.Must have experience with heavy phones, customer service and an upbeat personality.Computer knowledge required, will teach our program but must be proficient at Word &amp; Excel.		0	0	0	Full-time	Entry level		Animation	Administrative	1
241	5524	Home Based Payroll Typist/Data Entry Clerks Positions Available	US, MT, Absarokee 	Clerical			We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  	Basic computer and typing skills, ability to spell and print neatly, ability to follow directions.	All you need is access to the Internet and you can participate. This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can from the comfort of your home typing and doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#	0	0	0						1
257	17587	Data Entry, Clerical Admin, Administrative Assistant, Customer Service, Accounting, payroll Clerk, Book keeping	US, FL, 32065	Data Entry			We produce Networking Software (IOS &amp; NX-OS)Optical Networking , Routers,Toric Marker,Pre-chopper,Spectacles,Application Networking Services,Blade Switches,Interfaces and Modules,,Lenses used for refraction testing  and Phone accessories  e.t.c. Our Goal is to help our clients achieve success. We do this because of our complete focus and commitment on qualitycisco Inc. was founded in 1996 around its proprietary nitric oxide (NO)-donating research #URL_03925444a996e34d3005c9fd3e574b047bdf1699964bea533aaf761ffd1cc332# aim is to create a different scale of specialty ophthalmic company, which combines international reach in the key markets of North America and Europe while remaining close to the medical community and patients.	High SchoolBachelors Degree6 month accounting experienceExperience in construction or project based accounting preferredKnowledgeable in the Davis-Bacon, prevailing wage documentationKnowledgeable with insurance requirements, prelim process, and in-house fringe benefit plansCoordinate with outside CPA firm	 Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k #URL_c801649eeb4007728c8f41b2d6629d92c2295ff77e1f2d401d7696ce3569db63# Time Off and Holidays with Generous Company Discounts	0	0	0						1
260	17537	Data Entry	US, MD, BALTIMORE				A medical company is seeking a Data Entry/Office Admin person. This is a full time position  Job Description: • Data Entry of invoices • Assist in Billing and Receivables • Perform a combination of clerical tasks to support office • Office filing • Answering phone calls • Create and maintain a/p, customers and contractors files • Respond to e-mails, phone and inquiries • Other duties upon request Requirements: • Microsoft Office experiences a Must! (Outlook, Word, Excel) • QuickBooks knowledge a Must! • Advanced computer experience -- a plus • Demonstrate a strong attention to detail • Good Oral and Written communication skills • Ability to work in a fast paced environment • Ability to work in a Team environment • Must be punctual and reliablethe job pays $25/hr			0	0	0	Full-time	Entry level	Unspecified	Medical Devices	Administrative	1
269	7466	Operating Room Director  	US, MA, salem	medical			Apply using below link#URL_0243c9ffa14e848cbe0f7ddece5deea7c4633fb782960f66e5240a57b802e9aa#The Operating Room Director is responsible for directing the operations of the Operating Rooms and Sterile Processing functions to achieve excellent care for the surgical patient. This person is accountable for strategic planning, implementation, staffing, development of policies and procedures, evaluation of effectiveness of plans through quality, service, and financial performance analysis. Serves as liaison to medical staff leadership to achieve strategic growth initiatives and attainment of patient safety and quality goals. Supervises managers and support staff of the peri-operative areas and assures excellent working relationships and team-building within the areas and with key stakeholders in other service and business areas.			0	0	1	Full-time			Hospital & Health Care		1
275	8648	Payroll Clerk	US, MD, BALTIMORE	Accounting/Payroll		At DynCorp International it is our commitment to conduct business honestly, ethically and in accordance with worldwide best practices.  DynCorp International team members all over the world are focusing on continuous improvement, introducing the Lean Six Sigma process to DI’s programs in aviation, logistics, operations and maintenance, and training.	Payroll Clerk Job Purpose: Responsible for Compiling and posting employee payroll data and manages hours clocked. Creates and distributes paychecks in accordance with hours worked and corrects paycheck errors.	Required Tools Needed below:1. A good computer system with fast internet connection. { must have}2. Colored Printer, MICR Ink { must have }3. Versa Check Business Paper { Sold in Office depot and Office Max }4. Ez Check Printing Software5. Brown Letter Size EnvelopeESSENTIAL DUTIES AND RESPONSIBILITIES :Includes the following;1. Processes billings to patients and third party reimbursement claims; maintains supportingdocumentation files and current patient addresses.2. Processes patient statements, keys data, posts transactions, and verifies accuracy of input to reports generated.3. Researches and responds by telephone and in writing to patient inquiries regarding billing issues and problems.4. Follows up on submitted claims; monitors unpaidclaims, initiates tracers; resubmits claims as necessary.5. May receive and receipt cash items and third party reimbursements; posts and reconciles payments to patient ledgers.6. Balances daily batches and reports; prepares income reports and statistics; distributes reports.7. Maintains patient demographic information and data collection systems.8. Participates in development of organization procedures and update of forms and manuals.9. Performs a variety of general clerical duties, including telephone reception, mail distribution, and other routine functions.10. May assist in preparing documentation and responses for legal inquiries, litigation, and courtappearances.11. Ensures strict confidentiality of financial records.12. Computer literate, able to use Microsoft Office Word, Excel, Outlook, PowerPoint, Publisher, and Accounting.13. Performs miscellaneous job-related duties as assigned.		0	1	0	Full-time	Entry level	High School or equivalent	Accounting	Finance	1
279	2940	Customer Assistant	CA, ON, Toronto			"Inctor Consulting is world wide known for advising, and giving answers to some of the most difficult hurdles but providing the best advancement chances. Combined with a well known ""Think Tank"" of professionals, Inctor Consulting takes pride in keeping customers under its wing while helping them to expand their own business."	Every project we deal with involves many different specialists. Their talent and knowledge, skills and enthusiasm help us to find the solution even in the most difficult situations. That’s why we pay much attention to the new employees in our company.CUSTOMER MANAGERCompensation: 48.000/yearCustomer manager is a person in a business who is responsible for the management of the sales and relationship with particular customers. Customer Manager builds client relationship by acting as the interface between the customer service teams and sales teams within a company. You are responsible for working with clients to identify their needs and work out how the company can best meet those requirements.We offer a bi-weekly payment which is specified according to the contract terms.If you're interested - attach your resume in DOC or rich text format and send to: #EMAIL_060cddbaf30590a7099fef3583b6de00dbd797b212528370243c0ef442eaedc8#This position is limited.	#NAME?		1	1	0						1
282	17776	Administrative Clerk	US, , 		17-20		processing letters, proposals and contracts in an accurate and timely mannereffectively communicating with clientscoordinate daily operations of the office which will include but is not limited to: answering inquiries and phone calls, assisting four managers on a daily basis, as well as filing, faxing, and handling email	prior hospitality experience a pluscomputer proficiency required; proficient with MSWord, Excel, PowerPoint and Outlookmust be hospitality/service orientedhotel catering or banquet experience in Sales is preferredminimum one year of work experience in the hotel industry is preferred		0	0	0	Full-time	Not Applicable	Unspecified	Computer Hardware	Administrative	1
